Type	lambda	s	a	b	r	E[N]	Var[N]	P[N=0]	E[T]	Var[T]	E[T^r]
Uniform	1	33.0499999999999	-0.75	0.75	0.5	1.49924357034796	1.46547774082729	0.219503902925986	0.999851669331682	0.985648865318031	0.886317572232703
Uniform	1	33.2499999999999	-0.75	0.75	0.5	1.49624060150376	1.46271694273277	0.220191498209366	0.999853797335709	0.983826748674674	0.8869406022461
Uniform	1	33.4499999999999	-0.75	0.75	0.5	1.49925261584454	1.46591414354691	0.219550242964052	0.999855925339741	0.982208633522534	0.887413332991972
Uniform	1	33.6499999999999	-0.75	0.75	0.5	1.50222882615156	1.46900286799918	0.218910563137367	0.999858053343768	0.98192177577564	0.887395545492697
Uniform	1	33.8499999999999	-0.75	0.75	0.5	1.50221565731167	1.4691673448549	0.218933486649766	0.999860181347782	0.982705079781383	0.887096873409706
Uniform	1	34.0499999999999	-0.75	0.75	0.5	1.4992657856094	1.46648381386102	0.219610328146363	0.999862309351828	0.981491128981632	0.887099419416342
Uniform	1	34.25	-0.75	0.75	0.5	1.49635036496351	1.46379668602483	0.220277375607458	0.99986443735584	0.978580139539671	0.887214752917953
Uniform	1	34.45	-0.75	0.75	0.5	1.49927431059507	1.46689529218214	0.219654003813266	0.999866565359861	0.974954412391728	0.887670150785862
Uniform	1	34.65	-0.75	0.75	0.5	1.5021645021645	1.46989166036785	0.219032128744104	0.999868693363908	0.972322444995527	0.887864172400376
Uniform	1	34.85	-0.75	0.75	0.5	1.50215208034433	1.47004687027206	0.219053754430725	0.999870821367936	0.971318467482876	0.887097414810797
Uniform	1	35.05	-0.75	0.75	0.5	1.49928673323823	1.46743291120694	0.219710684622666	0.999868024541119	0.968103555379454	0.887449051336169
Uniform	1	35.25	-0.75	0.75	0.5	1.49645390070922	1.46481565313616	0.220358376313331	0.999859283149997	0.964122970879575	0.88794851558241
Uniform	1	35.45	-0.75	0.75	0.5	1.49929478138223	1.46782154089771	0.219751919273072	0.999850541758882	0.960655696041336	0.888406365749245
Uniform	1	35.65	-0.75	0.75	0.5	1.50210378681627	1.4707309060938	0.219146885902662	0.999841800367757	0.956892431034786	0.88884334050599
Uniform	1	35.85	-0.75	0.75	0.5	1.50209205020921	1.47087761068609	0.219167320938247	0.999833058976642	0.954397413472067	0.889082545635239
Uniform	1	36.05	-0.75	0.75	0.5	1.49930651872399	1.46832973928567	0.219805477057852	0.99982980195778	0.953415404366664	0.888847178068362
Uniform	1	36.25	-0.75	0.75	0.5	1.49655172413793	1.46577883472057	0.220434904252016	0.999829782335415	0.95260142954834	0.888684434770536
Uniform	1	36.45	-0.75	0.75	0.5	1.49931412894376	1.46869737186254	0.219844469760995	0.999829762713054	0.951275814623166	0.888527495528397
Uniform	1	36.65	-0.75	0.75	0.5	1.50204638472033	1.47152463571746	0.219255391010339	0.999829743090689	0.949099859049415	0.88860105834317
Uniform	1	36.85	-0.75	0.75	0.5	1.50203527815468	1.47166351540681	0.21927473108576	0.999831960171538	0.947283344646445	0.888901968704842
Uniform	1	37.05	-0.75	0.75	0.5	1.49932523616734	1.46917850007558	0.21989515569997	0.999833580856924	0.945848334826396	0.889134583020557
Uniform	1	37.25	-0.75	0.75	0.5	1.49664429530201	1.46669068960858	0.220507319939127	0.999835201542316	0.945021834983314	0.889137009924003
Uniform	1	37.45	-0.75	0.75	0.5	1.49933244325768	1.46952679228736	0.219932084452882	0.999836822227709	0.944896962041239	0.889023356667654
Uniform	1	37.65	-0.75	0.75	0.5	1.50199203187251	1.47227645416563	0.219358141445541	0.999838442913098	0.944594028838585	0.888969019367799
