k	x	y	x2	y2	col
248	-2.6122	5.4780	-2.5095	6.2568	124
250	-2.5095	6.2568	-1.9986	6.8531	125
252	-1.9986	6.8531	-2.4594	7.4885	126
254	-2.4594	7.4885	-2.5056	6.7052	127
256	-2.5056	6.7052	-2.0972	7.3748	128
258	-2.0972	7.3748	-2.8427	7.6173	129
260	-2.8427	7.6173	-3.5206	8.0104	130
262	-3.5206	8.0104	-3.0296	7.4000	131
264	-3.0296	7.4000	-3.7712	7.1484	132
266	-3.7712	7.1484	-3.8171	7.9299	133
268	-3.8171	7.9299	-3.9492	7.1586	134
270	-3.9492	7.1586	-4.3264	6.4734	135
272	-4.3264	6.4734	-4.0346	5.7480	136
274	-4.0346	5.7480	-3.6102	5.0916	137
276	-3.6102	5.0916	-4.3395	5.3721	138
278	-4.3395	5.3721	-4.4725	6.1417	139
280	-4.4725	6.1417	-3.6917	6.1408	140
282	-3.6917	6.1408	-3.6767	6.9212	141
284	-3.6767	6.9212	-4.1632	6.3111	142
286	-4.1632	6.3111	-3.9280	5.5675	143
288	-3.9280	5.5675	-4.2289	6.2867	144
290	-4.2289	6.2867	-4.1217	5.5147	145
292	-4.1217	5.5147	-4.1237	4.7355	146
294	-4.1237	4.7355	-3.8441	4.0085	147
296	-3.8441	4.0085	-4.6228	4.0108	148
298	-4.6228	4.0108	-5.1301	4.6011	149
300	-5.1301	4.6011	-4.4301	4.2612	150
302	-4.4301	4.2612	-4.6067	3.5037	151
304	-4.6067	3.5037	-4.4997	4.2739	152
306	-4.4997	4.2739	-3.7360	4.1290	153
308	-3.7360	4.1290	-4.4368	4.4647	154
310	-4.4368	4.4647	-3.7652	4.8551	155
312	-3.7652	4.8551	-4.4081	5.2908	156
314	-4.4081	5.2908	-3.9343	4.6758	157
316	-3.9343	4.6758	-3.3545	4.1599	158
318	-3.3545	4.1599	-2.6354	3.8685	159
320	-2.6354	3.8685	-3.3784	4.0911	160
322	-3.3784	4.0911	-2.8960	3.4840	161
324	-2.8960	3.4840	-3.6012	3.1622	162
326	-3.6012	3.1622	-2.8263	3.1603	163
328	-2.8263	3.1603	-3.5536	2.8937	164
330	-3.5536	2.8937	-4.0682	2.3149	165
332	-4.0682	2.3149	-4.6155	1.7673	166
334	-4.6155	1.7673	-3.9592	1.3571	167
336	-3.9592	1.3571	-3.4336	0.7893	168
338	-3.4336	0.7893	-2.9111	0.2188	169
340	-2.9111	0.2188	-3.0161	0.9850	170
342	-3.0161	0.9850	-3.7288	1.2846	171
344	-3.7288	1.2846	-3.9042	0.5319	172
346	-3.9042	0.5319	-4.6342	0.7848	173
348	-4.6342	0.7848	-3.8711	0.6656	174
350	-3.8711	0.6656	-4.3938	0.0973	175
352	-4.3938	0.0973	-4.4277	-0.6739	176
354	-4.4277	-0.6739	-4.9522	-1.2400	177
356	-4.9522	-1.2400	-5.5404	-1.7393	178
358	-5.5404	-1.7393	-4.7692	-1.7546	179
360	-4.7692	-1.7546	-4.1216	-1.3360	180
362	-4.1216	-1.3360	-3.8658	-0.6088	181
364	-3.8658	-0.6088	-4.4684	-1.0893	182
366	-4.4684	-1.0893	-5.0457	-1.5994	183
368	-5.0457	-1.5994	-5.8154	-1.6310	184
370	-5.8154	-1.6310	-6.5263	-1.9269	185
372	-6.5263	-1.9269	-5.8122	-1.6393	186
374	-5.8122	-1.6393	-5.9262	-0.8781	187
376	-5.9262	-0.8781	-6.6813	-0.7302	188
378	-6.6813	-0.7302	-6.0275	-1.1356	189
380	-6.0275	-1.1356	-5.5342	-1.7256	190
382	-5.5342	-1.7256	-6.2244	-2.0642	191
384	-6.2244	-2.0642	-6.4560	-1.3313	192
386	-6.4560	-1.3313	-6.6336	-0.5837	193
388	-6.6336	-0.5837	-6.4806	-1.3365	194
390	-6.4806	-1.3365	-5.7209	-1.2238	195
392	-5.7209	-1.2238	-5.7130	-0.4560	196
394	-5.7130	-0.4560	-5.9966	-1.1694	197
396	-5.9966	-1.1694	-6.6754	-1.5273	198
398	-6.6754	-1.5273	-6.1747	-0.9460	199
400	-6.1747	-0.9460	-6.8190	-1.3623	200
402	-6.8190	-1.3623	-6.4083	-0.7146	201
404	-6.4083	-0.7146	-5.6942	-0.4357	202
406	-5.6942	-0.4357	-6.4606	-0.4447	203
408	-6.4606	-0.4447	-6.7079	-1.1700	204
410	-6.7079	-1.1700	-6.2436	-1.7795	205
412	-6.2436	-1.7795	-5.8886	-1.1008	206
414	-5.8886	-1.1008	-5.4093	-1.6980	207
416	-5.4093	-1.6980	-4.8031	-1.2303	208
418	-4.8031	-1.2303	-4.2109	-0.7454	209
420	-4.2109	-0.7454	-3.5064	-0.4466	210
422	-3.5064	-0.4466	-3.0889	0.1944	211
424	-3.0889	0.1944	-3.7616	-0.1695	212
426	-3.7616	-0.1695	-4.5246	-0.2202	213
428	-4.5246	-0.2202	-4.0182	0.3525	214
430	-4.0182	0.3525	-4.5389	-0.2070	215
432	-4.5389	-0.2070	-4.1924	0.4741	216
434	-4.1924	0.4741	-3.4783	0.2028	217
436	-3.4783	0.2028	-2.8716	0.6669	218
438	-2.8716	0.6669	-2.5047	-0.0029	219
440	-2.5047	-0.0029	-2.6803	0.7401	220
442	-2.6803	0.7401	-3.1654	0.1508	221
444	-3.1654	0.1508	-2.4440	0.3997	222
446	-2.4440	0.3997	-2.7473	-0.3004	223
448	-2.7473	-0.3004	-3.0059	-1.0180	224
450	-3.0059	-1.0180	-2.9544	-0.2571	225
452	-2.9544	-0.2571	-3.7051	-0.1239	226
454	-3.7051	-0.1239	-4.4364	-0.3389	227
456	-4.4364	-0.3389	-5.0241	-0.8241	228
458	-5.0241	-0.8241	-4.7291	-1.5266	229
460	-4.7291	-1.5266	-4.9741	-0.8053	230
462	-4.9741	-0.8053	-4.8350	-0.0565	231
464	-4.8350	-0.0565	-5.0162	-0.7960	232
466	-5.0162	-0.7960	-4.3591	-1.1804	233
468	-4.3591	-1.1804	-3.6100	-1.3147	234
470	-3.6100	-1.3147	-2.8533	-1.2343	235
472	-2.8533	-1.2343	-2.5574	-0.5334	236
474	-2.5574	-0.5334	-3.1305	-1.0336	237
476	-3.1305	-1.0336	-3.8229	-0.7192	238
478	-3.8229	-0.7192	-3.7244	-1.4731	239
480	-3.7244	-1.4731	-3.6839	-2.2322	240
482	-3.6839	-2.2322	-4.4362	-2.3401	241
484	-4.4362	-2.3401	-4.1513	-1.6357	242
486	-4.1513	-1.6357	-3.5944	-2.1524	243
488	-3.5944	-2.1524	-3.7294	-2.8998	244
490	-3.7294	-2.8998	-3.3571	-3.5616	245
492	-3.3571	-3.5616	-3.7252	-2.8976	246
494	-3.7252	-2.8976	-4.1181	-2.2482	247
496	-4.1181	-2.2482	-3.3762	-2.4076	248
498	-3.3762	-2.4076	-3.7622	-1.7544	249
500	-3.7622	-1.7544	-4.4737	-2.0174	250
502	-4.4737	-2.0174	-4.5068	-2.7751	251
504	-4.5068	-2.7751	-3.7491	-2.7456	252
506	-3.7491	-2.7456	-4.4780	-2.5371	253
508	-4.4780	-2.5371	-4.2436	-1.8162	254
510	-4.2436	-1.8162	-4.6752	-1.1933	255
512	-4.6752	-1.1933	-3.9175	-1.1883	256
514	-3.9175	-1.1883	-4.0059	-0.4359	257
516	-4.0059	-0.4359	-4.0189	0.3214	258
518	-4.0189	0.3214	-3.3076	0.5813	259
520	-3.3076	0.5813	-3.1710	-0.1634	260
522	-3.1710	-0.1634	-3.9206	-0.2685	261
524	-3.9206	-0.2685	-4.4867	0.2339	262
526	-4.4867	0.2339	-5.2237	0.4054	263
528	-5.2237	0.4054	-4.7555	-0.1889	264
530	-4.7555	-0.1889	-5.1694	-0.8220	265
532	-5.1694	-0.8220	-4.4334	-0.9961	266
534	-4.4334	-0.9961	-3.9328	-1.5628	267
536	-3.9328	-1.5628	-4.6609	-1.3594	268
538	-4.6609	-1.3594	-4.3017	-2.0244	269
540	-4.3017	-2.0244	-3.6222	-1.6938	270
542	-3.6222	-1.6938	-3.7437	-0.9481	271
544	-3.7437	-0.9481	-4.4873	-1.0808	272
546	-4.4873	-1.0808	-3.8332	-1.4584	273
548	-3.8332	-1.4584	-4.5768	-1.5899	274
550	-4.5768	-1.5899	-5.2905	-1.3438	275
552	-5.2905	-1.3438	-5.2475	-2.0974	276
554	-5.2475	-2.0974	-5.9690	-2.3187	277
556	-5.9690	-2.3187	-5.3736	-2.7823	278
558	-5.3736	-2.7823	-4.8138	-3.2881	279
560	-4.8138	-3.2881	-5.4422	-3.7054	280
