k	x	y	x2	y2	col
2477	26.9733	2.2431	26.58869068	2.491334999	2477
2478	26.5887	2.4913	26.91975862	2.807365131	2478
2479	26.9198	2.8074	27.0739851	2.376461054	2479
2480	27.0740	2.3765	26.63143071	2.493049454	2480
2481	26.6314	2.4930	27.0264645	2.724087686	2481
2482	27.0265	2.7241	26.83265249	2.309539262	2482
2483	26.8327	2.3095	26.83973582	2.767083198	2483
2484	26.8397	2.7671	26.94143141	2.320946698	2484
2485	26.9414	2.3209	26.81427465	2.760485187	2485
2486	26.8143	2.7605	26.88587603	2.30857886	2486
2487	26.8859	2.3086	26.95386299	2.761024466	2487
2488	26.9539	2.7610	26.68170562	2.393270745	2488
2489	26.6817	2.3933	27.12331834	2.512743849	2489
2490	27.1233	2.5127	26.74233536	2.765984403	2490
2491	26.7423	2.7660	26.72041693	2.309058159	2491
2492	26.7204	2.3091	27.15608916	2.448467379	2492
2493	27.1561	2.4485	26.94228308	2.852837754	2493
2494	26.9423	2.8528	26.53705288	2.640705381	2494
2495	26.5371	2.6407	26.67112241	2.203417997	2495
2496	26.6711	2.2034	27.12743233	2.172443819	2496
2497	27.1274	2.1724	27.39070452	2.546407911	2497
2498	27.3907	2.5464	27.28576012	2.991527353	2498
2499	27.2858	2.9915	26.92856299	3.277076164	2499
2500	26.9286	3.2771	26.47945714	3.36318725	2500
2501	26.4795	3.3632	26.02524688	3.310390394	2501
2502	26.0252	3.3104	25.5812372	3.201151394	2502
2503	25.5812	3.2012	25.13199832	3.116031036	2503
2504	25.1320	3.1160	24.67526991	3.137091074	2504
2505	24.6753	3.1371	24.26531999	3.339498413	2505
2506	24.2653	3.3395	24.0379368	3.736118989	2506
2507	24.0379	3.7361	24.15103253	4.179067834	2507
2508	24.1510	4.1791	24.57699075	4.345011384	2508
2509	24.5770	4.3450	24.90943757	4.031259695	2509
2510	24.9094	4.0313	24.69344926	3.628403125	2510
2511	24.6934	3.6284	24.27355016	3.808992348	2511
2512	24.2736	3.8090	24.4920381	4.210457311	2512
2513	24.4920	4.2105	24.82056963	3.892712911	2513
2514	24.8206	3.8927	24.39185295	3.734346674	2514
2515	24.3919	3.7343	24.51471265	4.174536115	2515
2516	24.5147	4.1745	24.73177575	3.772381592	2516
2517	24.7318	3.7724	24.32776471	3.985930506	2517
2518	24.3278	3.9859	24.78347322	3.952148371	2518
2519	24.7835	3.9521	24.33244377	3.878886265	2519
2520	24.3324	3.8789	24.77845644	3.978138629	2520
2521	24.7785	3.9781	24.32383262	3.932543026	2521
2522	24.3238	3.9325	24.77198452	3.843632411	2522
